Weight(kg),CG(%MAC),Trim
80000,6,8.5
70000,6,8.25
60000,6,7.25
50000,6,6.5
45000,6,6.25
35000,6,6.25
80000,9,8.5
70000,9,7.75
60000,9,7
50000,9,6.25
45000,9,5.75
35000,9,5.75
80000,14,7.5
70000,14,7
60000,14,6.25
50000,14,5.5
45000,14,5
35000,14,5
80000,18,7
70000,18,6.25
60000,18,5.75
50000,18,5
45000,18,4.5
35000,18,4.5
80000,22,6.25
70000,22,5.75
60000,22,5
50000,22,4.25
45000,22,4
35000,22,4
80000,26,5.5
70000,26,5
60000,26,4.5
50000,26,3.75
45000,26,3.5
35000,26,3.5
80000,30,4.75
70000,30,4.25
60000,30,3.75
50000,30,3.25
45000,30,3
35000,30,3
80000,32,4.5
70000,32,4
60000,32,3.5
50000,32,3
45000,32,2.75
35000,32,2.75
80000,33,4.25
70000,33,3.75
60000,33,3.25
50000,33,2.75
45000,33,2.75
35000,33,2.75
80000,36,3.75
70000,36,3.5
60000,36,3
50000,36,2.75
45000,36,2.75
35000,36,2.75
