Assumed Temp Minus OAT, OAT, N1(%) Reduction
110,-40,11.6
100,-40,10.3
90,-40,10.8
80,-40,12.2
70,-40,11
60,-40,9.6
50,-40,8
40,-40,0
30,-40,0
20,-40,0
10,-40,0
0,-40,0
110,-20,0
100,-20,7.9
90,-20,8.4
80,-20,7.1
70,-20,7.6
60,-20,9
50,-20,7.7
40,-20,6.2
30,-20,4.7
20,-20,0
10,-20,0
0,-20,0
110,0,0
100,0,0
90,0,0
80,0,5
70,0,5.4
60,0,4.1
50,0,4.5
40,0,5.9
30,0,4.6
20,0,3.1
10,0,1.5
0,0,0
110,5,0
100,5,0
90,5,0
80,5,0
70,5,5.2
60,5,4
50,5,2.8
40,5,4.7
30,5,4.5
20,5,3
10,5,1.5
0,5,0
110,10,0
100,10,0
90,10,0
80,10,0
70,10,3.5
60,10,3.9
50,10,2.6
40,10,3
30,10,4.4
20,10,3
10,10,1.5
0,10,0
110,15,0
100,15,0
90,15,0
80,15,0
70,15,0
60,15,3.8
50,15,2.7
40,15,2.6
30,15,4.2
20,15,3
10,15,1.5
0,15,0
110,20,0
100,20,0
90,20,0
80,20,0
70,20,0
60,20,2.1
50,20,2.6
40,20,2.7
30,20,4.1
20,20,2.9
10,20,1.5
0,20,0
110,25,0
100,25,0
90,25,0
80,25,0
70,25,0
60,25,0
50,25,2.4
40,25,2.8
30,25,4
20,25,2.8
10,25,1.5
0,25,0
110,30,0
100,30,0
90,30,0
80,30,0
70,30,0
60,30,0
50,30,0.8
40,30,2.6
30,30,4
20,30,2.7
10,30,1.4
0,30,0
110,35,0
100,35,0
90,35,0
80,35,0
70,35,0
60,35,0
50,35,0
40,35,2.5
30,35,3.9
20,35,2.7
10,35,1.4
0,35,0
110,40,0
100,40,0
90,40,0
80,40,0
70,40,0
60,40,0
50,40,0
40,40,2.9
30,40,3.8
20,40,2.6
10,40,1.4
0,40,0
110,45,0
100,45,0
90,45,0
80,45,0
70,45,0
60,45,0
50,45,0
40,45,0
30,45,3.7
20,45,2.6
10,45,1.3
0,45,0
110,50,0
100,50,0
90,50,0
80,50,0
70,50,0
60,50,0
50,50,0
40,50,0
30,50,3.6
20,50,2.5
10,50,1.3
0,50,0
110,55,0
100,55,0
90,55,0
80,55,0
70,55,0
60,55,0
50,55,0
40,55,0
30,55,0
20,55,2.4
10,55,1.3
0,55,0
